iter	Passed	Remaining
712	877	353
713	878	351
714	879	350
715	880	349
716	881	347
717	882	346
718	883	345
719	884	344
720	885	342
721	886	341
722	887	340
723	888	338
724	889	337
725	889	335
726	890	334
727	891	333
728	892	331
729	892	330
730	893	328
731	894	327
732	895	326
733	896	324
734	897	323
735	897	322
736	898	320
737	899	319
738	900	317
739	901	316
740	901	315
741	902	313
742	903	312
743	904	311
744	904	309
745	905	308
746	906	306
747	907	305
748	907	304
749	908	302
750	909	301
751	910	300
752	911	298
753	911	297
754	912	296
755	913	294
756	914	293
757	915	292
758	916	290
759	916	289
760	917	288
761	918	286
762	918	285
763	919	284
764	920	282
765	920	281
766	921	279
767	922	278
768	923	277
769	923	275
770	925	274
771	926	273
772	926	272
773	927	270
774	928	269
775	929	268
776	929	266
777	930	265
778	931	264
779	932	262
780	932	261
781	933	260
782	934	258
783	934	257
784	935	256
785	936	254
786	937	253
787	938	252
788	939	251
789	940	250
790	941	248
791	942	247
792	943	246
793	943	244
794	944	243
795	945	242
796	946	240
797	946	239
798	947	238
799	948	237
800	949	235
801	950	234
802	951	233
803	951	232
804	952	230
805	954	229
806	955	228
807	955	227
808	956	225
809	957	224
810	958	223
811	959	222
812	960	220
813	960	219
814	961	218
815	962	217
816	963	215
817	964	214
818	964	213
819	965	211
820	966	210
821	967	209
822	968	208
823	969	207
824	970	205
825	971	204
826	972	203
827	972	202
828	973	200
829	974	199
830	975	198
831	975	197
832	976	195
833	977	194
834	978	193
835	978	192
836	979	190
837	980	189
838	981	188
839	981	187
840	983	185
841	1007	189
842	1008	187
843	1009	186
844	1009	185
845	1010	183
846	1011	182
847	1011	181
848	1012	180
849	1013	178
850	1014	177
851	1015	176
852	1015	175
853	1016	173
854	1017	172
855	1018	171
856	1018	170
857	1019	168
858	1020	167
859	1020	166
860	1021	164
861	1022	163
862	1022	162
863	1023	161
864	1024	159
865	1024	158
866	1025	157
867	1026	156
868	1026	154
869	1027	153
870	1028	152
871	1028	151
872	1030	149
873	1031	148
874	1031	147
875	1032	146
876	1033	144
877	1034	143
878	1034	142
879	1035	141
880	1036	139
881	1036	138
882	1037	137
883	1038	136
884	1039	135
885	1039	133
886	1040	132
887	1041	131
888	1041	130
889	1042	128
890	1043	127
891	1044	126
892	1045	125
893	1046	124
894	1047	122
895	1048	121
896	1049	120
897	1050	119
898	1051	118
899	1051	116
900	1052	115
901	1053	114
902	1054	113
903	1055	112
904	1056	110
905	1057	109
906	1058	108
907	1060	107
908	1061	106
909	1062	105
910	1063	103
911	1064	102
912	1065	101
913	1066	100
914	1067	99
915	1068	97
916	1069	96
917	1070	95
918	1071	94
919	1074	93
920	1075	92
921	1076	91
922	1077	89
923	1078	88
924	1079	87
925	1080	86
926	1081	85
927	1082	83
928	1082	82
929	1083	81
930	1084	80
931	1085	79
932	1086	78
933	1087	76
934	1088	75
935	1089	74
936	1090	73
937	1091	72
938	1091	70
939	1092	69
940	1093	68
941	1094	67
942	1095	66
943	1095	65
944	1096	63
945	1097	62
946	1097	61
947	1098	60
948	1099	59
949	1099	57
950	1100	56
951	1101	55
952	1102	54
953	1103	53
954	1104	52
955	1104	50
956	1105	49
957	1106	48
958	1106	47
959	1107	46
960	1108	44
961	1109	43
962	1109	42
963	1110	41
964	1111	40
965	1111	39
966	1112	37
967	1113	36
968	1113	35
969	1114	34
970	1115	33
971	1115	32
972	1116	30
973	1117	29
974	1118	28
975	1119	27
976	1120	26
977	1120	25
978	1121	24
979	1122	22
980	1123	21
981	1123	20
982	1124	19
983	1125	18
984	1125	17
985	1126	15
986	1127	14
987	1128	13
988	1128	12
989	1129	11
990	1130	10
991	1131	9
992	1132	7
993	1133	6
994	1134	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1137	0
